name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_176,True,True,0.6966,0.23,0.88,0.7889,0.5644,0.674,True
test_177,True,True,0.9007,3.49,2.02,0.4892,0.6054,0.677,True
test_178,True,True,0.1924,1.57,1.25,0.6603,0.6060,0.686,True
test_179,True,True,4.5647,6.85,14.23,0.0443,0.6350,0.000,True
test_180,True,True,0.7482,0.92,0.32,0.7568,0.3088,0.676,True
test_181,True,True,4.1155,2.55,9.07,0.1414,0.2990,0.598,True
test_182,True,True,0.9359,1.77,0.30,0.6950,0.4477,0.681,True
test_183,True,True,0.1763,0.10,0.18,0.8729,0.5211,0.690,True
test_184,True,True,2.2839,4.39,0.53,0.4481,0.4413,0.673,True
test_185,True,True,2.3187,5.74,1.89,0.3794,0.4279,0.662,True
test_186,True,True,0.5955,0.32,1.28,0.6475,0.4503,0.685,True
test_187,True,True,0.5938,0.99,0.02,0.7956,0.5185,0.693,True
test_188,True,True,0.0287,1.44,1.49,0.5723,0.4353,0.689,True
test_189,True,True,3.0752,0.12,4.97,0.2745,0.3074,0.298,True
test_190,True,True,0.7114,3.77,2.62,0.4137,0.4321,0.698,True
test_191,True,True,0.3040,0.58,1.07,0.6582,0.5612,0.712,True
test_192,True,True,14.5561,51.05,27.96,0.0385,0.5857,0.706,False
test_193,True,True,1.5057,4.59,2.16,0.4663,0.5316,0.642,True
test_194,True,True,1.0517,1.39,0.33,0.7589,0.5388,0.696,True
test_195,True,True,3.2476,6.86,1.58,0.3293,0.4402,0.673,True
test_196,True,True,0.7001,0.31,0.83,0.7941,0.5112,0.712,True
test_197,True,True,2.7438,10.28,14.66,0.0000,0.4511,0.584,False
test_198,True,True,0.2920,0.50,0.02,0.8721,0.5686,0.690,True
test_199,True,True,1.2151,4.86,2.85,0.3538,0.4976,0.653,True
test_200,True,True,1.2949,3.91,1.78,0.4675,0.5523,0.682,True
test_201,True,True,0.6367,1.04,0.01,0.7920,0.5747,0.696,True
test_202,True,True,2.6614,1.02,3.26,0.3648,0.5494,0.551,True
test_203,True,True,0.0053,0.79,0.78,0.7598,0.4890,0.696,True
test_204,True,True,0.1335,0.58,0.35,0.8717,0.4907,0.716,True
test_205,True,True,27.7999,106.40,62.20,0.0016,0.4988,0.670,False
test_206,True,True,0.7792,3.59,2.32,0.4894,0.5120,0.721,True
test_207,True,True,12.2833,50.96,31.43,0.0008,0.5146,0.711,False
