name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_986,True,True,0.1489,1.24,1.01,0.6471,0.6966,0.726,True
test_987,True,True,0.4421,1.47,0.78,0.7500,0.7211,0.743,True
test_988,True,True,0.3325,1.01,0.49,0.7500,0.7891,0.744,True
test_989,True,True,0.4027,2.21,1.58,0.6471,0.5994,0.726,True
test_990,True,True,0.3751,0.20,0.79,0.7866,0.7390,0.719,True
test_991,True,True,0.3368,0.57,0.05,0.8667,0.8073,0.720,True
test_992,True,True,0.3443,1.43,0.89,0.7500,0.7277,0.736,True
test_993,True,True,0.3234,0.24,0.26,0.8667,0.8477,0.729,True
test_994,True,True,0.5018,0.29,0.49,0.8667,0.7990,0.725,True
test_995,True,True,1.1165,2.83,1.09,0.6086,0.6254,0.737,True
test_996,True,True,0.7059,0.48,0.62,0.6795,0.7610,0.728,True
test_997,True,True,0.1104,0.20,0.03,1.0000,0.8698,0.744,True
test_998,True,True,0.1683,0.18,0.44,0.8667,0.8129,0.715,True
test_999,True,True,0.0607,0.29,0.19,1.0000,0.7898,0.725,True
test_1000,True,True,0.6589,1.03,0.00,0.9084,0.7551,0.737,True
test_1311,True,True,1.5131,1.92,0.44,0.6562,0.6385,0.659,True
test_1312,True,True,0.2235,0.04,0.39,0.8667,0.7472,0.661,True
test_1313,True,True,0.1259,0.55,0.35,0.8667,0.8035,0.678,True
test_1314,True,True,0.0937,0.11,0.04,0.8667,0.8104,0.668,True
test_1315,True,True,0.0024,1.70,1.70,0.6471,0.6183,0.679,True
test_1316,True,True,0.5691,1.51,0.62,0.7500,0.6583,0.685,True
test_1317,True,True,0.6865,0.32,1.39,0.7067,0.5810,0.692,True
test_1318,True,True,1.2327,4.17,2.25,0.5135,0.4555,0.679,True
test_1319,True,True,0.0959,0.86,0.71,0.8667,0.7705,0.681,True
test_1320,True,True,0.2014,0.77,0.45,0.8667,0.7400,0.683,True
test_1321,True,True,0.5482,1.19,0.33,0.7866,0.7822,0.688,True
test_1322,True,True,1.1787,0.91,0.92,0.6795,0.6466,0.695,True
test_1323,True,True,0.2591,0.39,0.80,0.8667,0.7430,0.707,True
test_1324,True,True,0.6720,1.08,0.03,0.7866,0.7432,0.671,True
test_1325,True,True,0.1069,0.31,0.14,0.8667,0.7807,0.686,True
test_1326,True,True,0.9601,0.93,0.57,0.6471,0.6943,0.705,True
test_1327,True,True,0.6575,0.05,0.98,0.8065,0.7372,0.707,True
test_1328,True,True,0.3248,0.10,0.41,0.8667,0.8135,0.714,True
test_1329,True,True,0.3978,0.51,0.11,0.8667,0.7951,0.701,True
test_1330,True,True,0.1384,0.02,0.20,0.8667,0.8084,0.720,True
test_1331,True,True,0.1396,0.42,0.64,0.8667,0.7113,0.714,True
test_1332,True,True,0.0482,0.36,0.29,1.0000,0.8313,0.703,True
test_1333,True,True,0.1605,0.06,0.31,0.8667,0.8391,0.708,True
test_1334,True,True,0.3969,0.24,0.86,0.8667,0.7357,0.705,True
test_1335,True,True,0.8525,0.98,0.35,0.7483,0.7365,0.719,True
test_1336,True,True,0.4740,0.77,0.03,0.7500,0.7326,0.692,True
test_1337,True,True,0.4584,2.01,1.29,0.6471,0.5843,0.694,True
test_1338,True,True,1.2675,1.53,0.44,0.6455,0.6214,0.687,True
test_1339,True,True,0.3674,0.41,0.98,0.7500,0.6716,0.692,True
test_1340,True,True,0.5162,0.67,0.14,0.8667,0.7317,0.698,True
test_1341,True,True,0.0803,0.30,0.17,0.8667,0.7896,0.694,True
test_1342,True,True,0.0588,1.73,1.64,0.5556,0.6042,0.688,True
test_1343,True,True,0.3346,1.27,0.75,0.8667,0.7274,0.684,True
test_1344,True,True,0.2100,0.13,0.46,1.0000,0.7972,0.703,True
test_1345,True,True,0.2306,1.21,0.85,0.7500,0.7716,0.706,True
test_1346,True,True,0.2212,0.00,0.34,0.8667,0.7974,0.709,True
test_1347,True,True,0.0463,0.64,0.71,0.8667,0.7631,0.695,True
test_1348,True,True,0.5484,0.52,1.38,0.7500,0.6077,0.662,True
test_1349,True,True,0.1239,0.86,0.67,0.8667,0.7815,0.694,True
test_1350,True,True,0.6668,0.72,0.32,0.7884,0.7380,0.665,True
test_1351,True,True,0.0165,0.21,0.24,0.8667,0.7464,0.657,True
test_1352,True,True,0.9116,2.70,1.28,0.7132,0.6355,0.678,True
test_1353,True,True,0.0124,0.34,0.36,1.0000,0.7537,0.682,True
test_1354,True,True,0.2152,0.26,0.08,0.8667,0.7036,0.649,True
test_1355,True,True,0.0091,0.47,0.46,0.8667,0.7345,0.674,True
test_1356,True,True,0.0934,0.70,0.85,0.8667,0.7039,0.668,True
test_1357,True,True,0.3874,1.38,0.78,0.7500,0.6837,0.645,True
test_1358,True,True,0.9572,2.24,0.75,0.6970,0.6497,0.658,True
test_1359,True,True,0.2262,1.01,1.37,0.6471,0.6425,0.644,True
test_1360,True,True,0.8379,0.54,0.76,0.6874,0.6562,0.662,True
test_3751,True,True,1.0171,2.86,1.28,0.6795,0.6158,0.742,True
test_3752,True,True,0.6894,1.50,0.43,0.8065,0.7588,0.739,True
test_3753,True,True,0.2685,0.85,0.44,0.8667,0.8089,0.739,True
test_3754,True,True,0.1001,1.29,1.13,0.7500,0.7022,0.735,True
test_3755,True,True,0.1204,0.23,0.04,1.0000,0.8204,0.742,True
test_3756,True,True,0.0098,0.27,0.25,0.8667,0.8222,0.723,True
test_3757,True,True,0.6514,0.26,0.76,0.7902,0.7481,0.743,True
test_3758,True,True,0.4107,0.60,0.04,0.8686,0.8198,0.744,True
test_3759,True,True,0.0888,0.06,0.08,1.0000,0.8371,0.746,True
test_3760,True,True,0.4578,1.22,0.51,0.7500,0.7563,0.756,True
test_3761,True,True,0.8748,0.79,0.58,0.6978,0.7337,0.752,True
test_3762,True,True,0.1921,0.26,0.04,0.8682,0.8784,0.750,True
test_3763,True,True,0.3595,0.73,0.17,0.8647,0.8325,0.754,True
test_3764,True,True,0.1950,1.08,0.78,0.8667,0.7588,0.756,True
test_3765,True,True,0.2919,0.26,0.19,0.8686,0.8449,0.742,True
test_3766,True,True,0.6892,0.91,0.16,0.7902,0.7441,0.731,True
test_3767,True,True,0.0376,0.39,0.45,0.8667,0.8021,0.736,True
test_3768,True,True,1.6413,4.10,1.54,0.5462,0.4759,0.731,True
test_3769,True,True,0.5961,1.43,0.50,0.7884,0.7435,0.727,True
test_3770,True,True,0.0792,1.10,0.98,0.7500,0.6890,0.735,True
test_3771,True,True,0.8953,3.19,1.80,0.5556,0.5476,0.735,True
test_3772,True,True,0.4851,0.61,1.37,0.6471,0.6620,0.715,True
test_3773,True,True,0.0905,1.23,1.38,0.7500,0.6520,0.717,True
test_3774,True,True,0.5896,1.00,0.08,0.8065,0.7233,0.715,True
test_3775,True,True,0.0332,0.54,0.59,0.8667,0.7785,0.710,True
test_3776,True,True,0.4232,1.57,0.91,0.7500,0.7344,0.706,True
test_3777,True,True,0.6354,1.88,0.89,0.7500,0.7115,0.730,True
test_3778,True,True,0.8134,2.00,0.73,0.6795,0.6671,0.701,True
test_3779,True,True,1.1375,2.66,0.89,0.6159,0.6361,0.713,True
test_3780,True,True,1.2188,3.35,1.45,0.6086,0.5513,0.700,True
test_3781,True,True,0.8558,1.65,0.31,0.7902,0.6882,0.729,True
test_3782,True,True,0.5515,0.25,0.61,0.7902,0.7384,0.711,True
test_3783,True,True,0.1806,0.22,0.50,0.8667,0.7670,0.723,True
test_3784,True,True,0.0181,0.85,0.88,0.8667,0.7270,0.715,True
test_3785,True,True,0.9050,1.92,0.51,0.7067,0.7212,0.709,True
test_3786,True,True,0.3079,0.20,0.28,0.8667,0.8280,0.724,True
test_3787,True,True,0.6660,0.71,0.33,0.8745,0.7085,0.702,True
test_3788,True,True,0.3877,1.95,1.35,0.6471,0.6677,0.717,True
test_3789,True,True,0.4720,1.63,0.90,0.7500,0.7524,0.722,True
test_3790,True,True,0.1724,0.59,0.86,0.7500,0.7204,0.725,True
test_3791,True,True,0.3421,1.17,0.64,0.7500,0.7771,0.736,True
test_3792,True,True,0.4461,0.10,0.80,0.9084,0.7412,0.734,True
test_3793,True,True,0.1078,0.91,0.74,0.7500,0.7600,0.742,True
test_3794,True,True,0.5239,1.81,0.99,0.7500,0.6828,0.746,True
test_3795,True,True,0.1752,0.12,0.16,1.0000,0.8780,0.735,True
test_3796,True,True,0.4013,0.24,0.87,0.7500,0.7519,0.739,True
test_3797,True,True,0.1705,0.16,0.43,1.0000,0.7970,0.728,True
test_3798,True,True,0.2122,0.55,0.22,1.0000,0.7930,0.723,True
test_3799,True,True,0.1716,0.67,0.40,0.8667,0.8164,0.741,True
test_3800,True,True,0.0566,0.50,0.58,0.8667,0.7989,0.734,True
test_3951,True,True,0.3732,0.87,0.29,0.8667,0.8276,0.737,True
test_3952,True,True,0.0962,0.69,0.54,0.8667,0.8270,0.740,True
test_3953,True,True,0.7681,1.55,0.35,0.7884,0.7371,0.731,True
test_3954,True,True,0.1195,0.62,0.43,0.8667,0.8147,0.735,True
test_3955,True,True,0.0012,0.43,0.43,1.0000,0.8273,0.727,True
test_3956,True,True,0.0202,1.29,1.26,0.7500,0.6849,0.742,True
test_3957,True,True,0.1096,0.32,0.15,0.8667,0.8601,0.733,True
test_3958,True,True,0.2584,0.79,0.38,0.8657,0.8392,0.737,True
test_3959,True,True,0.2699,1.68,1.26,0.7500,0.6866,0.743,True
test_3960,True,True,0.8612,1.50,0.16,0.6978,0.7521,0.735,True
test_3961,True,True,0.0915,0.63,0.48,1.0000,0.8243,0.735,True
test_3962,True,True,0.7762,1.25,0.04,0.7866,0.7278,0.739,True
test_3963,True,True,0.2632,0.06,0.35,0.8667,0.8405,0.740,True
test_3964,True,True,0.1757,0.26,0.01,0.8667,0.8247,0.741,True
test_3965,True,True,0.3727,1.38,0.80,0.8667,0.7496,0.741,True
test_3966,True,True,0.1709,0.28,0.01,0.8667,0.8206,0.729,True
test_3967,True,True,0.6200,1.39,0.42,0.8667,0.7788,0.741,True
test_3968,True,True,0.3550,0.70,0.15,0.8667,0.8377,0.735,True
test_3969,True,True,0.2428,0.01,0.36,1.0000,0.8142,0.730,True
test_3970,True,True,0.3475,0.07,0.47,0.8667,0.7890,0.739,True
test_3971,True,True,0.0512,0.44,0.36,1.0000,0.8285,0.744,True
test_3972,True,True,0.3786,0.85,0.26,0.8647,0.8118,0.737,True
test_3973,True,True,0.6202,1.13,0.16,0.8686,0.7851,0.733,True
test_3974,True,True,0.2045,0.65,0.34,0.8667,0.8532,0.738,True
test_3975,True,True,0.2470,0.45,0.06,0.8647,0.8445,0.738,True
test_3976,True,True,0.8810,1.89,0.52,0.6886,0.7380,0.740,True
test_3977,True,True,0.2974,0.20,0.67,0.8667,0.7623,0.735,True
test_3978,True,True,0.2934,1.36,0.90,0.8667,0.7545,0.738,True
test_3979,True,True,0.0962,0.32,0.17,1.0000,0.8421,0.734,True
test_3980,True,True,0.4268,0.43,1.09,0.7500,0.7284,0.737,True
test_3981,True,True,0.1781,0.15,0.12,0.8667,0.8126,0.730,True
test_3982,True,True,0.3000,0.44,0.91,0.7500,0.7184,0.727,True
test_3983,True,True,0.3271,1.44,0.93,0.7500,0.7429,0.740,True
test_3984,True,True,0.3928,0.41,0.20,0.8647,0.7935,0.731,True
test_3985,True,True,0.0603,0.84,0.75,0.7500,0.7687,0.726,True
test_3986,True,True,0.0448,0.49,0.56,0.7500,0.7721,0.725,True
test_3987,True,True,0.5163,0.17,0.64,0.7866,0.7653,0.732,True
test_3988,True,True,0.1117,0.63,0.46,1.0000,0.8294,0.741,True
test_3989,True,True,0.4650,0.03,0.69,0.8667,0.7827,0.723,True
test_3990,True,True,0.4828,0.04,0.80,0.7866,0.7693,0.728,True
test_3991,True,True,0.1065,0.96,1.12,0.7500,0.7108,0.728,True
test_3992,True,True,0.3340,3.51,2.99,0.3333,0.3913,0.728,True
test_3993,True,True,0.8898,1.47,0.08,0.7500,0.7112,0.725,True
test_3994,True,True,0.0908,0.41,0.27,1.0000,0.8413,0.725,True
test_3995,True,True,1.1091,1.98,0.26,0.6858,0.6733,0.732,True
test_3996,True,True,0.2969,0.13,0.59,0.8667,0.7869,0.720,True
test_3997,True,True,0.2892,0.16,0.29,0.8667,0.8266,0.708,True
test_3998,True,True,0.0328,0.57,0.52,0.8667,0.7952,0.704,True
test_3999,True,True,0.2329,0.22,0.15,1.0000,0.8304,0.721,True
test_4000,True,True,0.0594,0.56,0.47,0.8667,0.8076,0.722,True
test_5951,True,True,0.0926,0.43,0.57,0.8667,0.8071,0.753,True
test_5952,True,True,0.2352,0.63,0.26,0.8672,0.8381,0.754,True
test_5953,True,True,0.1533,0.32,0.08,0.8672,0.8536,0.753,True
test_5954,True,True,0.0175,0.23,0.26,1.0000,0.8625,0.749,True
test_5955,True,True,0.3277,0.63,0.12,0.8657,0.8470,0.750,True
test_5956,True,True,0.2922,1.12,0.66,0.8672,0.7827,0.753,True
test_5957,True,True,0.1313,0.32,0.11,1.0000,0.8792,0.752,True
