name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_85,True,True,3.2920,27.13,32.47,0.0000,0.3045,0.247,False
test_86,True,True,6.7921,41.49,30.42,0.0000,0.3341,0.000,False
test_87,True,True,11.0692,5.71,13.02,0.0738,0.3436,0.000,False
test_88,True,True,2.6419,2.85,7.17,0.1410,0.3653,0.000,True
test_89,True,True,4.5324,12.55,19.92,0.0000,0.2959,0.000,False
test_90,True,True,8.9675,3.14,11.88,0.0948,0.3156,0.178,False
test_91,True,True,2.9970,20.45,15.73,0.0000,0.1851,0.000,False
test_92,True,True,5.2425,36.55,27.91,0.0000,0.3513,0.000,False
test_93,True,True,5.7085,16.07,6.68,0.1533,0.2333,0.413,False
test_94,True,True,4.0030,8.76,2.21,0.2319,0.2189,0.090,True
test_95,True,True,14.4678,106.26,83.34,0.0000,0.2160,0.184,False
test_96,True,True,11.4775,53.25,34.92,0.0000,0.3257,0.000,False
test_97,True,True,1.2871,3.44,5.54,0.1928,0.3242,0.000,True
test_98,True,True,0.3193,3.53,3.01,0.3501,0.3326,0.482,True
test_99,True,True,1.3100,0.75,2.88,0.4676,0.3149,0.082,True
test_100,True,True,2.5376,3.35,0.71,0.4397,0.1309,0.343,True
test_101,True,True,1.8848,4.64,1.62,0.4828,0.0667,0.317,True
test_102,True,True,25.7107,92.86,52.08,0.0206,0.0676,0.072,False
test_103,True,True,4.5430,9.80,17.00,0.0022,0.0390,0.227,True
test_104,True,True,16.2158,81.66,56.23,0.0000,0.0267,0.437,False
test_105,True,True,10.5556,21.07,3.85,0.0774,0.0279,0.320,False
test_106,True,True,5.9690,25.53,15.63,0.0244,0.1138,0.116,False
test_107,True,True,13.9330,108.84,86.99,0.0000,0.1035,0.188,False
test_108,True,True,18.6285,121.91,92.33,0.0000,0.0434,0.276,False
test_109,True,True,12.1629,35.50,16.24,0.0705,0.0431,0.238,False
test_110,True,True,0.8317,2.56,1.19,0.6240,0.2463,0.423,True
test_111,True,True,10.2967,12.23,5.15,0.0784,0.1911,0.000,False
test_112,True,True,28.8367,79.49,33.42,0.0288,0.1981,0.078,False
test_113,True,True,9.8363,84.99,69.60,0.0000,0.2483,0.057,False
test_114,True,True,31.9213,89.45,38.39,0.0257,0.1818,0.234,False
test_115,True,True,0.7534,2.19,0.98,0.6579,0.2989,0.473,True
test_116,True,True,1.5459,0.14,2.68,0.4669,0.2872,0.480,True
test_117,True,True,5.5322,1.62,7.32,0.1590,0.1727,0.364,False
test_118,True,True,2.9754,2.13,6.99,0.1825,0.2608,0.102,True
test_119,True,True,26.1406,91.85,50.26,0.0262,0.2925,0.227,False
test_120,True,True,13.4808,21.62,0.36,0.0618,0.0446,0.215,False
test_121,True,True,27.6661,122.61,78.45,0.0000,0.0510,0.253,False
test_122,True,True,14.1620,75.88,53.67,0.0000,0.0244,0.366,False
test_123,True,True,17.7561,114.20,86.31,0.0000,0.0582,0.310,False
test_124,True,True,14.9732,117.43,93.95,0.0000,0.0442,0.160,False
test_125,True,True,5.9770,14.22,4.41,0.1429,0.0641,0.351,False
test_126,True,True,19.9167,86.40,55.02,0.0000,0.0345,0.040,False
test_127,True,True,26.1286,84.04,42.55,0.0314,0.0665,0.394,False
test_128,True,True,11.8483,109.68,90.74,0.0000,0.0830,0.120,False
test_129,True,True,6.3758,11.96,1.35,0.1398,0.1025,0.222,False
test_130,True,True,16.4117,121.74,95.51,0.0000,0.0665,0.110,False
test_131,True,True,0.0498,10.54,10.46,0.0000,0.1192,0.117,False
test_132,True,True,29.3635,120.54,73.67,0.0000,0.1563,0.212,False
test_133,True,True,8.1530,24.59,11.25,0.1020,0.0340,0.404,False
test_134,True,True,0.1409,20.97,20.74,0.0000,0.0916,0.118,False
test_135,True,True,7.1598,32.16,43.36,0.0000,0.0915,0.180,False
test_136,True,True,18.7217,44.24,10.15,0.0425,0.0627,0.000,False
test_137,True,True,7.9490,6.43,6.17,0.1099,0.1511,0.163,False
test_138,True,True,2.4522,30.45,26.54,0.0000,0.0904,0.059,False
test_139,True,True,12.6003,12.45,9.44,0.0633,0.1484,0.099,False
test_140,True,True,15.3202,81.33,57.32,0.0000,0.1507,0.442,False
test_141,True,True,22.4700,97.50,62.02,0.0000,0.2354,0.380,False
test_142,True,True,31.3536,101.74,51.46,0.0254,0.2262,0.053,False
test_143,True,True,12.4103,29.63,8.49,0.0648,0.2576,0.000,False
test_144,True,True,1.5189,0.69,3.25,0.4002,0.2437,0.404,True
test_145,True,True,26.1026,91.79,50.38,0.0264,0.2089,0.250,False
test_146,True,True,18.4763,89.94,60.87,0.0000,0.2226,0.271,False
test_147,True,True,23.0458,110.56,73.84,0.0000,0.2521,0.000,False
test_148,True,True,0.4563,8.43,9.16,0.0000,0.2401,0.211,True
test_149,True,True,16.4313,82.00,56.23,0.0000,0.1757,0.440,False
test_150,True,True,5.5615,18.70,9.90,0.0989,0.2108,0.000,False
test_151,True,True,17.1935,73.06,46.07,0.0000,0.1196,0.102,False
test_152,True,True,16.0040,77.52,52.21,0.0000,0.1453,0.191,False
test_153,True,True,19.6082,101.60,70.47,0.0000,0.1943,0.205,False
test_154,True,True,0.9801,16.94,18.56,0.0000,0.1160,0.222,False
test_155,True,True,9.8160,7.94,23.33,0.0538,0.2257,0.194,False
test_156,True,True,23.0321,89.70,53.29,0.0000,0.2319,0.461,False
test_157,True,True,4.0889,7.61,14.34,0.0208,0.2999,0.000,True
test_158,True,True,14.8626,86.27,62.96,0.0000,0.2038,0.333,False
test_159,True,True,21.9987,13.21,47.96,0.0370,0.1676,0.091,False
test_160,True,True,13.7897,10.25,31.94,0.0437,0.1400,0.111,False
test_161,True,True,24.5387,96.90,58.04,0.0000,0.1777,0.111,False
test_162,True,True,28.5538,88.04,42.41,0.0288,0.1442,0.252,False
test_163,True,True,2.3025,6.09,9.92,0.0396,0.2500,0.209,True
test_164,True,True,15.6585,99.04,74.40,0.0000,0.2100,0.145,False
test_165,True,True,11.8523,39.04,19.91,0.0662,0.3719,0.000,False
test_166,True,True,25.4419,85.52,45.01,0.0315,0.1379,0.095,False
test_167,True,True,26.3746,86.28,44.45,0.0314,0.1892,0.413,False
test_168,True,True,2.5694,5.15,0.94,0.4181,0.2720,0.389,True
test_169,True,True,22.7110,81.88,46.03,0.0191,0.1749,0.231,False
test_170,True,True,1.6263,16.94,14.28,0.0000,0.1521,0.366,False
test_171,True,True,30.5328,109.12,60.31,0.0221,0.1792,0.064,False
test_172,True,True,4.2636,27.42,20.05,0.0000,0.0975,0.000,False
test_173,True,True,16.1026,95.64,70.38,0.0000,0.2398,0.123,False
test_174,True,True,1.1266,98.95,97.17,0.0000,0.2392,0.053,False
test_175,True,True,9.9314,21.79,37.44,0.0000,0.0795,0.441,False
test_176,True,True,9.9339,7.51,8.78,0.0841,0.2666,0.000,False
test_177,True,True,7.1561,92.57,81.19,0.0000,0.2198,0.052,False
test_178,True,True,3.8648,5.33,11.71,0.0570,0.1369,0.312,True
test_179,True,True,2.4737,1.49,2.54,0.3751,0.3278,0.450,True
test_180,True,True,12.3985,1.81,21.62,0.0660,0.2283,0.177,False
test_181,True,True,13.9401,48.38,70.24,0.0000,0.1038,0.095,False
test_182,True,True,5.9205,17.93,8.51,0.1294,0.1417,0.327,False
test_183,True,True,29.0632,81.23,34.70,0.0286,0.1602,0.000,False
test_184,True,True,45.5902,150.44,74.59,0.0173,0.1608,0.202,False
test_185,True,True,9.2750,114.48,99.45,0.0000,0.1015,0.096,False
test_186,True,True,6.5543,55.22,44.88,0.0000,0.1318,0.116,False
test_187,True,True,9.5988,8.54,7.77,0.0839,0.1300,0.237,False
